Semester,Academic Year,Course ID Number,Subject ,Course Number,Section,Course Type,Enrollment as of Add Date,# majored in STEM,Days,Start Time,End Time,Enrollment End of Term,Enrollment as of Census
Spring,2019-2020,2421,BIO,105,1-1,Laboratory,12,2,T,01:30pm,04:25pm,18,
Spring,2019-2020,2422,BIO,105,1-2,Laboratory,8,2,R,01:30pm,04:25pm,13,
Spring,2019-2020,2424,BIO,105,2-1,Laboratory,14,2,T,08:30am,11:25am,17,
Spring,2019-2020,2425,BIO,105,2-2,Laboratory,14,2,R,08:30am,11:25am,16,
Spring,2019-2020,2420,BIO,105,1,Lecture,20,4,TR,10:05am,11:30am,31,
Spring,2019-2020,2423,BIO,105,2,Lecture,28,4,TR,01:30pm,02:55pm,33,
Spring,2019-2020,2427,BIO,110,1-1,Laboratory,11,2,T,01:30pm,04:25pm,17,
Spring,2019-2020,2428,BIO,110,1-2,Laboratory,15,6,R,01:30pm,04:25pm,18,
Spring,2019-2020,2426,BIO,110,1,Lecture,26,8,TR,08:30am,09:55am,35,
Spring,2019-2020,2433,BIO,130,2-1,Laboratory,16,9,R,08:30am,11:25am,18,
Spring,2019-2020,2434,BIO,130,2-2,Laboratory,13,10,R,01:30pm,04:25pm,18,
Spring,2019-2020,2431,BIO,130,1-2,Laboratory,15,11,T,01:30pm,04:25pm,18,
Spring,2019-2020,2430,BIO,130,1-1,Laboratory,14,12,M,03:00pm,05:55pm,16,
Spring,2019-2020,2432,BIO,130,2,Lecture,29,19,MWF,01:55pm,02:50pm,36,
Spring,2019-2020,2429,BIO,130,1,Lecture,29,23,MWF,10:40am,11:35am,34,
Spring,2019-2020,2623,CHEM,120,2,Lecture,25,11,MWF,10:40am,11:35am,26,
Spring,2019-2020,2622,CHEM,120,1,Lecture,27,18,MWF,08:30am,09:25am,33,
Spring,2019-2020,2629,CHEM,150,0,Lecture,3,3,W,04:05pm,05:35pm,10,
Spring,2019-2020,2627,CHEM,120L,4,Laboratory,8,2,R,08:30am,11:25am,11,
Spring,2019-2020,2624,CHEM,120L,1,Laboratory,9,4,T,08:30am,11:25am,10,
Spring,2019-2020,2628,CHEM,120L,5,Laboratory,11,6,R,01:30pm,04:25pm,13,
Spring,2019-2020,2626,CHEM,120L,3,Laboratory,11,7,W,06:30pm,09:25pm,13,
Spring,2019-2020,2625,CHEM,120L,2,Laboratory,11,10,T,01:30pm,04:25pm,11,
Spring,2019-2020,2530,MATH,110,1-2,Additional Meeting Time,3,0,T,01:30pm,02:55pm,4,
Spring,2019-2020,2532,MATH,110,2-1,Additional Meeting Time,13,4,T,01:30pm,02:55pm,14,
Spring,2019-2020,2533,MATH,110,2-2,Additional Meeting Time,11,4,T,03:05pm,04:30pm,11,
Spring,2019-2020,2528,MATH,110,1,Lecture,16,5,MWF,03:00pm,03:55pm,18,
Spring,2019-2020,2529,MATH,110,1-1,Additional Meeting Time,13,5,T,10:05am,11:30am,14,
Spring,2019-2020,2531,MATH,110,2,Lecture,24,8,MWF,01:55pm,02:50pm,25,
Spring,2019-2020,2541,MATH,120,2-1,Additional Meeting Time,9,2,R,01:30pm,02:55pm,9,
Spring,2019-2020,2542,MATH,120,2-2,Additional Meeting Time,7,2,R,10:05am,11:30am,7,
Spring,2019-2020,2540,MATH,120,2,Lecture,16,4,MWF,10:40am,11:35am,16,
Spring,2019-2020,2544,MATH,120,3-1,Additional Meeting Time,11,4,R,01:30pm,02:55pm,11,
Spring,2019-2020,2545,MATH,120,3-2,Additional Meeting Time,7,4,R,03:05pm,04:30pm,6,
Spring,2019-2020,2539,MATH,120,1-2,Additional Meeting Time,16,5,T,10:05am,11:30am,14,
Spring,2019-2020,2538,MATH,120,1-1,Additional Meeting Time,14,6,T,08:30am,09:55am,14,
Spring,2019-2020,2543,MATH,120,3,Lecture,18,8,MWF,01:55pm,02:50pm,17,
Spring,2019-2020,2537,MATH,120,1,Lecture,30,11,MWF,09:35am,10:30am,28,
Spring,2019-2020,2567,PHYS,115,0,Lecture,8,4,MWF,09:35am,10:30am,18,
Spring,2019-2020,2570,PHYS,117,0,Lecture,15,7,MWF,10:40am,11:35am,16,
Spring,2019-2020,2574,PHYS,125,0,Lecture,1,0,MWF,11:45am,12:40pm,14,
Spring,2019-2020,2578,PHYS,240,0,Lecture,4,4,MWF,01:55pm,02:50pm,7,
Spring,2019-2020,2568,PHYS,115L,1,Laboratory,3,2,T,08:30am,11:25am,8,
Spring,2019-2020,2569,PHYS,115L,2,Laboratory,5,2,T,01:30pm,04:25pm,10,
Spring,2019-2020,2572,PHYS,117L,1,Laboratory,6,3,T,08:30am,11:25am,7,
Spring,2019-2020,2573,PHYS,117L,2,Laboratory,9,4,T,01:30pm,04:25pm,9,
Spring,2019-2020,2575,PHYS,125L,1,Laboratory,1,0,R,08:30am,11:25am,6,
Spring,2019-2020,2579,PHYS,240L,0,Laboratory,4,4,R,01:30pm,04:25pm,7,
Spring,2019-2020,2576,PHYS,125L,2,Laboratory,0,0,R,01:30pm,04:25pm,8,
