Semester,Academic Year,Course ID Number,Subject ,Course Number,Section,Course Type,Enrollment as of Add Date,# majored in STEM,Days,Start Time,End Time,Enrollment End of Term,Enrollment as of Census
Fall ,2019-2020,1531,MATH,110,2,Lecture,26,5,MWF,09:35am,10:30am,27,29
Fall ,2019-2020,1527,MATH,110,1,Lecture,29,7,MWF,08:30am,09:25am,34,34
Fall ,2019-2020,1534,MATH,110,3,Lecture,29,7,MWF,10:40am,11:35am,31,32
Fall ,2019-2020,1544,MATH,114,2-1,Additional Meeting Time,17,1,T,01:30pm,02:55pm,13,14
Fall ,2019-2020,1542,MATH,114,1-2,Additional Meeting Time,11,3,T,01:30pm,02:55pm,11,11
Fall ,2019-2020,1541,MATH,114,1-1,Additional Meeting Time,12,4,T,10:05am,11:30am,12,12
Fall ,2019-2020,1545,MATH,114,2-2,Additional Meeting Time,19,6,T,03:05pm,04:30pm,19,19
Fall ,2019-2020,1540,MATH,114,1,Lecture,23,7,MWF,10:40am,11:35am,23,23
Fall ,2019-2020,1543,MATH,114,2,Lecture,36,7,MWF,03:00pm,03:55pm,32,33
Fall ,2019-2020,1548,MATH,120,1-2,Additional Meeting Time,12,2,T,03:05pm,04:30pm,16,16
Fall ,2019-2020,1550,MATH,120,2-1,Additional Meeting Time,8,2,W,04:05pm,05:30pm,11,10
Fall ,2019-2020,1554,MATH,120,2-2,Additional Meeting Time,6,4,W,05:40pm,07:05pm,6,6
Fall ,2019-2020,1549,MATH,120,2,Lecture,14,6,TR,03:05pm,04:30pm,17,16
Fall ,2019-2020,1547,MATH,120,1-1,Additional Meeting Time,16,8,T,01:30pm,02:55pm,18,18
Fall ,2019-2020,1546,MATH,120,1,Lecture,28,10,MWF,01:55pm,02:50pm,34,34
Fall ,2019-2020,1551,MATH,128,0,Lecture,21,8,MWF,10:40am,11:35am,21,22
Fall ,2019-2020,1570,PHYS,110,2,Lecture,10,3,MWF,01:55pm,02:50pm,11,11
Fall ,2019-2020,1569,PHYS,110,1,Lecture,20,8,MWF,10:40am,11:35am,25,25
Fall ,2019-2020,1574,PHYS,115,0,Lecture,5,3,MWF,09:35am,10:30am,16,16
Fall ,2019-2020,1580,PHYS,125,0,Lecture,4,3,MWF,11:45am,12:40pm,7,7
Fall ,2019-2020,1571,PHYS,110L,1,Laboratory,7,2,M,03:00pm,05:55pm,8,8
Fall ,2019-2020,1572,PHYS,110L,2,Laboratory,12,4,T,08:30am,11:25am,16,16
Fall ,2019-2020,1573,PHYS,110L,3,Laboratory,11,5,T,01:30pm,04:25pm,12,12
Fall ,2019-2020,1575,PHYS,115L,1,Laboratory,1,1,R,08:30am,11:25am,5,5
Fall ,2019-2020,1576,PHYS,115L,2,Laboratory,4,2,R,01:30pm,04:25pm,11,11
Fall ,2019-2020,1581,PHYS,125L,1,Laboratory,4,3,T,08:30am,11:25am,7,7
